epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,13311.4,0.88378,0.36229,0.91857,0.99128,0.99533,0.99413,0.84378,0.83097,0.31593,0.92529,0.000755,0.000755,0.000755
82,13477.5,0.89142,0.35809,0.9248,0.99284,0.9948,0.99421,0.84585,0.83734,0.31463,0.92623,0.000748813,0.000748813,0.000748813
83,13637.5,0.88503,0.35726,0.92133,0.99427,0.99418,0.99383,0.84779,0.83597,0.30986,0.92507,0.000742625,0.000742625,0.000742625
84,13805,0.88034,0.35246,0.92522,0.99337,0.99449,0.9943,0.84341,0.84441,0.31496,0.92983,0.000736438,0.000736438,0.000736438
85,13959.7,0.88695,0.35995,0.92459,0.98995,0.99264,0.99405,0.84576,0.8356,0.31095,0.92676,0.00073025,0.00073025,0.00073025
86,14123,0.88546,0.35469,0.92626,0.97617,0.96897,0.98767,0.82578,0.85965,0.34576,0.93619,0.000724062,0.000724062,0.000724062
87,14289.4,0.87003,0.35642,0.92011,0.98961,0.99548,0.9941,0.84283,0.83807,0.31625,0.92718,0.000717875,0.000717875,0.000717875
88,14446.4,0.87559,0.35346,0.92214,0.9911,0.99545,0.99414,0.84255,0.83607,0.31382,0.92704,0.000711687,0.000711687,0.000711687
89,14614.5,0.89036,0.35626,0.92709,0.99404,0.99271,0.99429,0.84557,0.83921,0.31249,0.92672,0.0007055,0.0007055,0.0007055
90,14769.7,0.88172,0.35439,0.92224,0.9942,0.99231,0.99408,0.85087,0.82979,0.30871,0.92692,0.000699312,0.000699312,0.000699312
91,14938.3,0.88359,0.35484,0.92104,0.9888,0.99602,0.994,0.84884,0.8301,0.30513,0.92406,0.000693125,0.000693125,0.000693125
92,15086.1,0.87455,0.35297,0.91731,0.99182,0.99573,0.99416,0.84703,0.82927,0.30587,0.9239,0.000686937,0.000686937,0.000686937
93,15257.7,0.87315,0.35029,0.91994,0.99274,0.99364,0.99421,0.84648,0.8406,0.30495,0.92674,0.00068075,0.00068075,0.00068075
94,15419.1,0.8853,0.35145,0.92786,0.99329,0.99132,0.99394,0.84775,0.83177,0.30327,0.92492,0.000674562,0.000674562,0.000674562
95,15577.7,0.87813,0.34979,0.92139,0.99115,0.99638,0.99415,0.84393,0.83,0.30093,0.92479,0.000668375,0.000668375,0.000668375
96,15738.2,0.8814,0.35575,0.92087,0.99084,0.9945,0.9942,0.84969,0.82464,0.30431,0.92261,0.000662188,0.000662188,0.000662188
97,15893.7,0.87547,0.3486,0.92497,0.9919,0.99369,0.9942,0.84634,0.8359,0.30474,0.92693,0.000656,0.000656,0.000656
98,16060.3,0.86202,0.35141,0.91246,0.97187,0.98906,0.99364,0.84135,0.84216,0.31995,0.92956,0.000649813,0.000649813,0.000649813
99,16217.3,0.88485,0.35206,0.92364,0.98914,0.99533,0.99421,0.84269,0.83654,0.30558,0.92705,0.000643625,0.000643625,0.000643625
100,16374.5,0.88035,0.34918,0.92831,0.98825,0.99634,0.9943,0.85229,0.82741,0.29865,0.92322,0.000637437,0.000637437,0.000637437
101,16537,0.87109,0.34599,0.92571,0.9944,0.99171,0.9941,0.84114,0.83458,0.30355,0.92631,0.00063125,0.00063125,0.00063125
102,16700.6,0.87604,0.3478,0.9213,0.99154,0.99206,0.99422,0.84683,0.82894,0.30411,0.92268,0.000625062,0.000625062,0.000625062
103,16860.2,0.86501,0.34252,0.91628,0.99419,0.99182,0.99418,0.84737,0.83266,0.30446,0.92417,0.000618875,0.000618875,0.000618875
104,17020.1,0.87259,0.34721,0.92259,0.98902,0.99632,0.99427,0.85008,0.82785,0.3023,0.92229,0.000612687,0.000612687,0.000612687
105,17179.4,0.87332,0.34413,0.92443,0.99139,0.993,0.99412,0.84963,0.83128,0.3046,0.92548,0.0006065,0.0006065,0.0006065
106,17339.8,0.84903,0.3391,0.91863,0.99054,0.99519,0.99431,0.84767,0.82863,0.3022,0.92201,0.000600313,0.000600313,0.000600313
107,17502.1,0.87306,0.34523,0.91642,0.99376,0.99173,0.99409,0.84728,0.82611,0.29742,0.92254,0.000594125,0.000594125,0.000594125
108,17661.4,0.85206,0.34151,0.91899,0.99257,0.99288,0.99418,0.84848,0.82224,0.30044,0.92099,0.000587938,0.000587938,0.000587938
109,17823.1,0.87304,0.34593,0.92043,0.99482,0.99163,0.99408,0.84856,0.82711,0.30018,0.92383,0.00058175,0.00058175,0.00058175
110,17995.8,0.86769,0.34596,0.91843,0.99287,0.99403,0.99412,0.85018,0.82723,0.29679,0.92264,0.000575563,0.000575563,0.000575563
111,18148,0.86221,0.34303,0.91579,0.9872,0.99821,0.99434,0.85326,0.82137,0.29585,0.92033,0.000569375,0.000569375,0.000569375
112,18305.3,0.85954,0.34103,0.91923,0.99087,0.99598,0.99429,0.85294,0.82882,0.29793,0.92166,0.000563187,0.000563187,0.000563187
113,18467.4,0.85216,0.33915,0.9135,0.99147,0.99524,0.99413,0.85062,0.82512,0.29786,0.92068,0.000557,0.000557,0.000557
114,18628.9,0.85958,0.33916,0.91477,0.99286,0.99352,0.99413,0.84804,0.82613,0.2968,0.9217,0.000550813,0.000550813,0.000550813
115,18791.4,0.85659,0.33786,0.91236,0.99336,0.99475,0.99423,0.84984,0.83161,0.29856,0.92402,0.000544625,0.000544625,0.000544625
116,18943.3,0.86446,0.34005,0.91835,0.99309,0.99301,0.99404,0.85092,0.82576,0.29526,0.92332,0.000538438,0.000538438,0.000538438
117,19104.8,0.86307,0.33846,0.91579,0.99106,0.99424,0.99417,0.84983,0.82214,0.29798,0.92058,0.00053225,0.00053225,0.00053225
118,19263.7,0.86652,0.33952,0.91976,0.98911,0.99746,0.99402,0.85083,0.82507,0.29604,0.92048,0.000526063,0.000526063,0.000526063
119,19430.9,0.86243,0.33978,0.91863,0.98868,0.99698,0.99425,0.85506,0.82228,0.29425,0.92144,0.000519875,0.000519875,0.000519875
120,19591,0.85939,0.33691,0.91342,0.9891,0.99689,0.9942,0.85062,0.82109,0.29258,0.92038,0.000513688,0.000513688,0.000513688
121,19753.4,0.864,0.3371,0.92179,0.98873,0.997,0.99435,0.85235,0.82204,0.29283,0.9204,0.0005075,0.0005075,0.0005075
122,19914.5,0.85361,0.33758,0.91258,0.98919,0.99689,0.99419,0.85125,0.82453,0.29556,0.92121,0.000501313,0.000501313,0.000501313
123,20077.2,0.86022,0.33924,0.91766,0.99176,0.99465,0.99412,0.85144,0.81987,0.2919,0.91949,0.000495125,0.000495125,0.000495125
124,20236,0.86521,0.33883,0.91524,0.99073,0.99521,0.99431,0.85091,0.82257,0.29341,0.92166,0.000488938,0.000488938,0.000488938
125,20395.4,0.8635,0.33823,0.91769,0.9913,0.99423,0.99415,0.85213,0.81888,0.29318,0.91928,0.00048275,0.00048275,0.00048275
126,20546.5,0.85689,0.33517,0.91824,0.98813,0.99742,0.99399,0.84551,0.826,0.29465,0.92156,0.000476562,0.000476562,0.000476562
127,20721.6,0.84935,0.3318,0.91273,0.99286,0.99275,0.99418,0.85059,0.82359,0.29123,0.92082,0.000470375,0.000470375,0.000470375
128,20877.3,0.84984,0.33436,0.91262,0.99275,0.99352,0.99421,0.84875,0.82183,0.28993,0.9198,0.000464188,0.000464188,0.000464188
129,21039.6,0.86478,0.3371,0.91438,0.99241,0.99296,0.9943,0.84982,0.82279,0.29747,0.92048,0.000458,0.000458,0.000458
130,21194.8,0.85751,0.33708,0.91479,0.99314,0.99246,0.99424,0.85567,0.81944,0.29197,0.91945,0.000451813,0.000451813,0.000451813
131,21356.4,0.85782,0.33535,0.91329,0.99416,0.99193,0.99424,0.85432,0.82391,0.29027,0.92249,0.000445625,0.000445625,0.000445625
132,21515.1,0.85267,0.33269,0.91978,0.99104,0.99456,0.9942,0.84641,0.83046,0.29548,0.92449,0.000439437,0.000439437,0.000439437
133,21674.4,0.84926,0.32947,0.91379,0.99214,0.99431,0.99416,0.85267,0.82128,0.28782,0.92117,0.00043325,0.00043325,0.00043325
134,21830.8,0.85157,0.33001,0.91687,0.99,0.99638,0.99412,0.85058,0.82529,0.29617,0.92226,0.000427062,0.000427062,0.000427062
135,21996.7,0.8458,0.33141,0.91423,0.9948,0.99103,0.99395,0.85183,0.82326,0.29297,0.92075,0.000420875,0.000420875,0.000420875
136,22155.3,0.8748,0.35249,0.92839,0.99141,0.99482,0.99414,0.84946,0.82274,0.29187,0.91982,0.000414688,0.000414688,0.000414688
137,22322.4,0.852,0.33195,0.91525,0.99439,0.99275,0.99412,0.8514,0.82222,0.29217,0.91975,0.0004085,0.0004085,0.0004085
138,22487.4,0.85737,0.335,0.91439,0.98941,0.99586,0.99435,0.85196,0.82393,0.2894,0.92195,0.000402312,0.000402312,0.000402312
139,22641,0.85243,0.32889,0.91691,0.99433,0.99255,0.99434,0.8512,0.82188,0.28719,0.9205,0.000396125,0.000396125,0.000396125
140,22800.1,0.84118,0.32665,0.90412,0.99334,0.99191,0.99402,0.85303,0.82221,0.28793,0.92014,0.000389938,0.000389938,0.000389938
141,22973.6,0.85159,0.3299,0.9145,0.99062,0.99547,0.99378,0.85425,0.81926,0.29097,0.91796,0.00038375,0.00038375,0.00038375
142,23139.3,0.84518,0.32647,0.90772,0.99013,0.99618,0.9943,0.85398,0.82072,0.2906,0.91928,0.000377563,0.000377563,0.000377563
143,23290.6,0.83934,0.32747,0.90798,0.99309,0.99329,0.99429,0.85285,0.82042,0.28543,0.92015,0.000371375,0.000371375,0.000371375
144,23443.4,0.84664,0.32548,0.91275,0.99331,0.99356,0.99425,0.85439,0.81516,0.28504,0.9169,0.000365188,0.000365188,0.000365188
145,23604.9,0.84535,0.32479,0.91143,0.99316,0.99447,0.99425,0.85235,0.81798,0.2872,0.91675,0.000359,0.000359,0.000359
146,23767.7,0.85853,0.32771,0.91398,0.992,0.99481,0.99429,0.85293,0.81959,0.28648,0.91886,0.000352812,0.000352812,0.000352812
147,23929.3,0.85469,0.32745,0.91776,0.99092,0.99572,0.99426,0.85452,0.81388,0.28548,0.91846,0.000346625,0.000346625,0.000346625
148,24107.8,0.85444,0.32743,0.91613,0.99292,0.99327,0.99419,0.85273,0.81451,0.28586,0.91781,0.000340438,0.000340438,0.000340438
149,24270,0.85059,0.32692,0.9131,0.99278,0.99482,0.99405,0.85298,0.81629,0.2851,0.91794,0.00033425,0.00033425,0.00033425
150,24434.7,0.84007,0.32426,0.91113,0.99389,0.99249,0.99422,0.85242,0.81503,0.28489,0.92085,0.000328063,0.000328063,0.000328063
151,24594.9,0.84711,0.32543,0.91346,0.99248,0.99379,0.99418,0.85349,0.81417,0.28771,0.92016,0.000321875,0.000321875,0.000321875
152,24748.7,0.8311,0.32074,0.90943,0.99254,0.9943,0.99426,0.85845,0.81537,0.28507,0.91971,0.000315687,0.000315687,0.000315687
153,24909.8,0.83519,0.31975,0.91234,0.99245,0.99379,0.99429,0.85647,0.81456,0.28362,0.92023,0.0003095,0.0003095,0.0003095
154,25077.1,0.83712,0.32079,0.90739,0.9948,0.99301,0.9943,0.85361,0.81684,0.28312,0.92039,0.000303313,0.000303313,0.000303313
155,25236.1,0.8523,0.32504,0.916,0.99411,0.99266,0.99422,0.8561,0.81121,0.28102,0.91817,0.000297125,0.000297125,0.000297125
156,25402.9,0.84964,0.32608,0.91683,0.99288,0.99314,0.9941,0.85371,0.81373,0.28199,0.91836,0.000290937,0.000290937,0.000290937
157,25555.4,0.83171,0.3208,0.91091,0.99314,0.99267,0.99416,0.85577,0.81472,0.28317,0.91847,0.00028475,0.00028475,0.00028475
158,25717.5,0.84184,0.32068,0.91239,0.99383,0.99327,0.99412,0.85209,0.81913,0.2816,0.92011,0.000278562,0.000278562,0.000278562
159,25883.6,0.85103,0.32075,0.90989,0.99383,0.99224,0.99416,0.85658,0.81173,0.28102,0.91748,0.000272375,0.000272375,0.000272375
160,26046.2,0.83293,0.31723,0.91227,0.99414,0.99256,0.99413,0.85418,0.81804,0.28376,0.92,0.000266187,0.000266187,0.000266187
161,26205.6,0.83383,0.31736,0.91356,0.9939,0.99322,0.99418,0.8568,0.81202,0.28023,0.91975,0.00026,0.00026,0.00026
162,26369.3,0.83896,0.31603,0.91102,0.99455,0.99339,0.99429,0.85701,0.81201,0.28064,0.91952,0.000253812,0.000253812,0.000253812
163,26522.9,0.83198,0.31852,0.91095,0.99345,0.99346,0.9943,0.85279,0.81584,0.28307,0.9197,0.000247625,0.000247625,0.000247625
164,26694.4,0.81916,0.31248,0.90418,0.99498,0.99214,0.99438,0.85337,0.81341,0.28109,0.91853,0.000241438,0.000241438,0.000241438
165,26855.1,0.83628,0.31919,0.91547,0.99381,0.99215,0.99404,0.85754,0.81213,0.28058,0.91911,0.00023525,0.00023525,0.00023525
166,27015.7,0.84034,0.32078,0.91172,0.99219,0.99452,0.99419,0.85307,0.81412,0.28222,0.91789,0.000229063,0.000229063,0.000229063
167,27178.5,0.83948,0.31674,0.91031,0.99275,0.9937,0.99422,0.85322,0.81195,0.27972,0.91753,0.000222875,0.000222875,0.000222875
168,27348.6,0.82637,0.31447,0.90685,0.99332,0.99405,0.99426,0.85864,0.81292,0.28091,0.91923,0.000216688,0.000216688,0.000216688
169,27500.4,0.82415,0.31392,0.90155,0.99426,0.9931,0.99424,0.8559,0.81432,0.27954,0.91904,0.0002105,0.0002105,0.0002105
170,27668.1,0.83752,0.31812,0.90994,0.99494,0.99292,0.99431,0.85715,0.81226,0.28015,0.91802,0.000204313,0.000204313,0.000204313
171,27833.4,0.82617,0.3175,0.90657,0.99208,0.99457,0.99416,0.85767,0.81038,0.28083,0.91811,0.000198125,0.000198125,0.000198125
172,28004,0.83483,0.31618,0.91373,0.99207,0.99386,0.99415,0.85923,0.80888,0.28003,0.91717,0.000191938,0.000191938,0.000191938
173,28154.9,0.82046,0.31063,0.9073,0.9947,0.99306,0.9942,0.86003,0.80903,0.27782,0.91802,0.00018575,0.00018575,0.00018575
174,28313.7,0.81786,0.3145,0.89838,0.99469,0.99337,0.99427,0.86139,0.80769,0.27824,0.91841,0.000179563,0.000179563,0.000179563
175,28476.1,0.82627,0.31185,0.91109,0.99414,0.99331,0.99425,0.85893,0.80882,0.27806,0.91774,0.000173375,0.000173375,0.000173375
176,28637.5,0.82309,0.31403,0.91001,0.99429,0.99407,0.99423,0.85504,0.80956,0.28065,0.91785,0.000167188,0.000167188,0.000167188
177,28786.9,0.81895,0.31164,0.90637,0.99432,0.99358,0.99421,0.85748,0.80857,0.27792,0.91785,0.000161,0.000161,0.000161
178,28949.8,0.81987,0.31259,0.90291,0.99379,0.99327,0.99426,0.85739,0.80801,0.27818,0.91742,0.000154812,0.000154812,0.000154812
179,29102.5,0.82356,0.31021,0.90395,0.99304,0.9945,0.99427,0.85682,0.80775,0.27759,0.91632,0.000148625,0.000148625,0.000148625
180,29263.1,0.82231,0.30953,0.90714,0.99192,0.99484,0.99426,0.85877,0.80557,0.2762,0.91579,0.000142437,0.000142437,0.000142437
181,29425.2,0.82749,0.31,0.90673,0.99395,0.99379,0.99428,0.85905,0.80646,0.27602,0.91632,0.00013625,0.00013625,0.00013625
